iter	F1	Logloss	Accuracy
0	0.5015036324	0.6712830392	0.830744344
1	0.523208146	0.6514183637	0.8345417833
2	0.5310996957	0.6317355019	0.8355857923
3	0.5350991649	0.6135190725	0.8364921298
4	0.5363921979	0.5964544843	0.8374787756
5	0.5352657638	0.5801371852	0.8373984673
6	0.5386497863	0.5658907026	0.837788536677	0.5386475008	0.552882366	0.8379835712
8	0.5384539765	0.5409540985	0.8384080584
9	0.5370778388	0.530134272	0.8384998394110	0.5393295283	0.5196286988	0.8388784361111	0.5392993046	0.5107779343	0.8388784361212	0.5406325715	0.5017240569	0.8390390513	13	0.5396908739	0.4937676776	0.8390734714	14	0.5400177055	0.4850456947	0.8390505215115	0.5405157443	0.4773931912	0.8391193616116	0.5406557377	0.4701961109	0.8392685017117	0.5400295421	0.4640766002	0.839234018	118	0.5399409255	0.4578680965	0.8391767191919	0.5405529651	0.4521438117	0.8394750220	20	0.5393132906	0.4472082336	0.8391423221	21	0.5393494919	0.4421286712	0.8393029222	22	0.5396877568	0.4375780986	0.8393258223	23	0.5394381949	0.433422242	0.8393602824	24	0.5395590997	0.4296790012	0.8396929925	25	0.5413227217	0.4260667438	0.839991226	026	0.5422882303	0.4228039975	0.840186327	027	0.5434019231	0.4195397443	0.840381228	028	0.5439805698	0.4160204315	0.840529	2929	0.5441234406	0.4132661668	0.8406930	0330	0.54336894	0.4103436622	0.8406108031	31	0.5431173357	0.4076679847	0.8405649132332	0.544021025	0.4050414877	0.8407599463333	0.5443378875	0.4022844516	0.840828734	034	0.5444743935	0.4001013263	0.84101235	0.35	0.5449286794	0.398028554	0.841150036	036	0.5458364788	0.3959870612	0.84125337	0.37	0.5464269309	0.3938130037	0.84140238	0338	0.5466653545	0.3917145188	0.84145939	339	0.5484029484	0.3900399251	0.841849840	440	0.5484346828	0.3885230965	0.8419645414141	0.5493742219	0.3871851688	0.8422054424242	0.54943327	0.3857068441	0.8422054943	43	0.5497903564	0.3844901898	0.842320244	444	0.5496643196	0.3830727791	0.842239945	445	0.5500736618	0.381727259	0.8423316946	46	0.5509522875	0.3806566807	0.842572647	047	0.5520533612	0.379630437	0.8428250148	48	0.5528954502	0.3785730096	0.8429512149	49	0.5534566572	0.377489566	0.8429741650	50	0.5529442486	0.3767282195	0.84287091551	0.5530998009	0.375806698	0.8429512184
52	0.5534915608	0.3750328193	0.8430888899
53	0.5539676325	0.3742534802	0.8431691985454	0.5548164091	0.3734182472	0.8433757055	55	0.5555302166	0.372652514	0.8434789595656	0.55564248	0.3719614591	0.8436051581557	0.5554867112	0.3711372941	0.8436166307558	0.5561709892	0.3704108368	0.8437198845959	0.556828538	0.3697379681	0.8437887201
	0.8473355131
